name,flavors,race,positive,negative,medical,Rating,Description
Headbanger,"Diesel, Skunk, Sweet, Citrus",hybrid,"Relaxed, Sleepy, Giggly, Happy, Uplifted, Euphoric, Hungry","Dizzy, Dry Mouth, Dry Eyes","Depression, Pain, Stress, Lack of Appetite, Headache, Headaches",4.4,"Headbanger, a winner of the 2013 Amsterdam Cannabis Cup, is a sativa dominant hybrid cross between Sour Diesel and Biker Kush. This strain inherits a dense, conic bud structure from its Kush forefathers, as well as the sour aroma and head-focused effects of its Sour Diesel mother plant. Bred by Karma Genetics, Headbanger’s 10 to 12 week flowering period requires patience but promises high yields. Its uplifting and euphoric qualities make Headbanger a potent medicine for mood disorders, particularly depression."
Hemlock,"Earthy, Sweet, Citrus, Pine",hybrid,"Relaxed, Happy, Creative, Uplifted, Focused, Giggly, Talkative","Dry Mouth, Dry Eyes","Depression, Pain, Stress, Nausea, Fatigue",4.5,"A cross of Durban Poison and LA Confidential, Hemlock is a hybrid strain that smells of sweet grapefruit with a hint of ammonia. Found mostly in Colorado, Hemlock averages about 21% THC and features a short, stocky, easy-to-grow structure with good yields and high resin production.  This hybrid gives users a relaxed feeling of well-being, and is potentially good for treating migraines, anxiety, and PTSD. "
Hempstar,"Woody, Pungent, Sweet, Earthy",sativa,"Euphoric, Happy, Creative, Energetic, Uplifted","Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Pain, Stress, Lack of Appetite, Nausea, Headache",4.3,"Hempstar, now known as 'Brainstorm,' was developed by Dutch Passion Seeds as a tribute to all the hempsters and the international hemp movement. This sativa-dominant strain was originally a three-way cross between Skunk, Oasis, and Haze, but Dutch Passion later brought Northern Lights #5 and Haze together to create the modern Brainstorm strain. It has a mild taste and traditional sativa effects."
Hercules,"Earthy, Sweet, Citrus, Tropical",hybrid,"Happy, Creative, Energetic, Focused, Giggly, Uplifted",,"Insomnia, Stress, Eye Pressure",4.8,"Hercules! Hercules! These hybrid buds are a blend of Hawaiian Urkle and Gupta Kush crafted by Colorado Seed Inc. A 60/40 sativa-dominant blend, Hercules offers the functional sedation of Kush with the mental alertness native to strong sativas. This all-day strain is ideal for physical activity, including, but not limited to: fighting Cerberus or eating an entire box of cereal.  "
Highwayman,"Flowery, Earthy, Sweet, Spicy/Herbal",hybrid,"Relaxed, Euphoric, Happy, Focused, Giggly, Sleepy",,"Lack of Appetite, Nausea, Fatigue, Headaches, Eye Pressure",3.8,"Highwayman is a cross of William’s Wonder and Tang Tang created by Colorado breeder Tierra Rojo and supposedly named in honor of Willie Nelson and the rest of the famed outlaw country supergroup, the Highwaymen. An even mix of sativa and indica genetics, it produces an uplifting, creative head high along with a subtle body buzz and aromas of chocolate and coffee.  This strain can be beneficial in treating pain, anxiety, and depression."
Hoarfrost,"Spicy/Herbal, Vanilla, Woody",hybrid,"Hungry, Euphoric, Happy, Creative, Focused",,"Depression, Stress, Nausea, Fatigue, Eye Pressure",4.8,"Hoarfrost by Cabin Fever Seed Breeders is a pungent hybrid with incredible trichome production. By crossing the mysterious White Forest with Raskal’s own White Fire, CFSB created a stimulating cross with heady euphoria that is ideal for long conversations and afternoons full of imagination. The flower emits a scent of fuel and hash with a gentle undercurrent of tart fruit. Enjoy Hoarfrost to elevate mood and stimulate creativity.  "
Hobbit,"Earthy, Strawberry, Berry, Flowery, Tea, Vanilla",hybrid,"Happy, Uplifted, Tingly, Focused, Hungry",Dry Eyes,"Depression, Insomnia, Pain, Stress, Spasticity",4.3,Hobbit by Kannabia Seeds is a resilient autoflowering variety with sweetness and strong elemental resistance. This strain has a sweet aroma that has been described as “strawberry candy” and an equally sweet smoke with latent earthy notes. Hobbit deftly combines stimulating Haze elements with a pervasive body buzz that is lightly weighted while remaining pleasant and functional. Many growers covet this autoflowering wonder for its quick 65-day flowering time and above-average yield.  
Hoodwreck,"Sweet, Earthy, Flowery, Minty, Tropical",sativa,"Euphoric, Happy, Creative, Energetic, Focused",,"Depression, Cramps, Fatigue, Headaches, Eye Pressure",4.2,"Developed in Mt. Hood, OR, by Valhalla Pharm, Hoodwreck is a sativa-dominant hybrid cross of Trainwreck and Purple Diesel. These dense, sticky, dark green buds feature purple highlights and an earthy, slightly citrusy scent with a sweet diesel flavor when smoked. The effects of this strain creep up on you slowly, gradually elevating your mood and fully relaxing your body. "
Huckleberry,"Berry, Sweet, Flowery, Earthy",hybrid,"Relaxed, Euphoric, Happy, Uplifted, Giggly, Talkative","Dizzy, Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Pain, Stress, Inflammation, Muscle Spasms",4.2,"The origins and genetics of Huckleberry are under debate, but there is no disputing the strain’s unmistakable berry aroma. The flower is compact, light green in color, and generally covered in orange hairs. Huckleberry plants have a flowering time of 8-9 weeks and produce average yields. They might be a bit tricky for the novice grower. The effects of this strain are on the milder side and largely reported as relaxing, cutting through stress without the cloudiness. Undoubtedly, this strain is best known for its intense fruity smell and taste, similar to its relative Blueberry."
Hulkamania,"Berry, Earthy, Flowery, Sweet",indica,"Relaxed, Euphoric, Happy, Tingly, Aroused, Uplifted",,"Depression, Insomnia, Lack of Appetite, Headaches, Inflammation",4.5,"Hulkamania is an honorary strain for “The Hulkster” himself, Hulk Hogan. While this strain may not arrive in Hogan’s recognizable spandex, bandana, and mustache of the iconic wrestler, it does combine some heavy-lifting THC muscle in the form of a Monster Cookies and Bruce Banner cross. Hulkamania combines relaxing physical effects with creative and uplifted mental effects, offering consumers the best of both worlds. Also, in true Cookies fashion, the strain smells doughy with notes of sweet earth on the exhale.  "
Humboldt,"Woody, Earthy, Pine, Flowery, Sweet, Citrus",hybrid,"Euphoric, Happy, Creative, Uplifted, Relaxed, Sleepy","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Pain, Stress, Headache, Headaches, Muscle Spasms",4.3,"The genetics of the Humboldt strain are something of a mystery, but it’s believed to be an Afghani strain that was cultivated in the Humboldt County area of California in the 1970s and later gained popularity in Europe in the 1990s. These plants are fast, tall growers that need lots of attention. Given proper care, they grow well indoors and out, flower in 8 weeks, and have above average yields. Humboldt’s aroma is floral and sweet and its high is uplifting and upbeat, bringing to mind the qualities of a Haze strain. It’s a good choice if you want to stay clear-headed."
Hurkle,"Sweet, Earthy, Berry",hybrid,"Relaxed, Hungry, Happy, Uplifted, Sleepy, Focused","Dizzy, Dry Mouth, Dry Eyes","Insomnia, Pain, Stress, Inflammation, Muscle Spasms",4.7,"Bred by TGA Genetics, Hurkle is a hybrid cross between the high-CBD sativa Harlequin and a Querkle indica. Most Hurkle phenotypes will hover around a 1:1 ratio of THC and CBD, but some variation should be expected. Flavors of grape, coffee, and chocolate overwhelm the palate in a flavorful introduction to Hurkle’s calming effects. CBD and THC team up to crush pain, stress, and anxiety, leaving you feeling relaxed in both mind and body."
Hurricane,"Pine, Spicy/Herbal, Sweet, Grape, Berry",sativa,"Relaxed, Happy, Energetic, Uplifted, Focused","Dizzy, Anxious","Depression, Insomnia, Pain, Stress, Fatigue",4.3,"Hurricane is a 70/30 sativa-dominant hybrid from Colorado breeders Reserva Privada that combines the spicy Haze genetics of Panama Punch with the OG Kush flavors of the award-winning LA Confidential. These flowers give off a mix of fruity smells with undertones of spice, and an earthy, herbal flavor when smoked or vaporized. Its potent mix of indica and sativa genetics produces a pleasant, giggly head high with a pain-relieving indica effects, and is generally considered suitable for daytime use."
Ice,"Diesel, Flowery, Sweet, Earthy",hybrid,"Relaxed, Euphoric, Happy, Uplifted, Focused, Tingly","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Insomnia, Pain, Stress, Nausea, Headache",4.1,"Nirvana Seeds really took their time with this indica/sativa hybrid, carefully selecting from thousands of plants before combining choice Skunk #1, Afghani, Northern Lights, and Shiva genetics into one potent seed line. Ice features copious yields of high density flowers with incredible trichome production. Some phenotypes will grow quite large, so growing indoors can be challenging. Most users report Ice as having a petrol aroma and a very heavy indica-type buzz, while some variations can present a more uplifting sativa-like effect."
Ingrid,"Sweet, Cheese, Skunk, Pungent",indica,"Relaxed, Hungry, Euphoric, Happy, Sleepy, Creative","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Pain, Stress, Cramps, Nausea, Headache",4.3,"Ingrid is a lesser-known indica, but it’s growing in popularity as consumers begin to discover this gem of a strain. This plant can be grown indoors or out, but produces higher yield indoors with flowers appearing around 5 to 7 weeks. The buds are dense, tightly bound flowers with very little loose greenery. Perhaps most striking are the flowers’ nearly neon green color. The neon buds emit a skunky aroma and induce a typical indica-strong body effect."
J-27,"Diesel, Earthy, Woody",sativa,"Euphoric, Creative, Energetic, Uplifted, Focused","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Pain, Stress, Nausea, Headaches, Inflammation",4.2,"Named after the Central California highway of its supposed origin, J-27 is a strong sativa that will definitely give you a fast rush. Great for battling depression and for patients who need to be focused while medicated, J-27 may cause some anxiety in higher doses. This strain is also noted for its powerful citrus-heavy aroma. J-27 flowers will be large and should have plenty of orange hairs. While its genetics are unknown, it is rumored to have some Jack Herer in its lineage and many patients find its effects to be similar."
J1,"Sweet, Earthy, Skunk, Citrus, Pine",hybrid,"Relaxed, Euphoric, Happy, Energetic, Uplifted, Creative","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Pain, Stress, Headache, Fatigue, Headaches",4.5,"J1, or Jack One, is a high-end hybrid strain that is gaining widespread popularity. Although a hybrid, the high-energy effects categorize the strain more on the sativa end of the scale. J1 is a cross between two famous sativas, Skunk #1 and Jack Herer, and is best known for its strong, uplifting, clear-headed buzz that allows for mobility. The flowers are emerald green and frosty with a sweet aroma resembling the unmistakable Jack Herer pungency. This strain’s seemingly only flaw is the top-shelf price that tends to come with its exceptional quality."
Jackalope,"Earthy, Citrus, Flowery",sativa,"Relaxed, Happy, Sleepy, Aroused, Talkative","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Insomnia, Stress, Fatigue, Headaches",4.2,"Jackalope is a mostly sativa strain that crosses Chocolope and Black Jack in a flavorful combination of berry and chocolate confection. Jack Herer ancestry reveals itself through this strain's energized and happy effects, which slowly taper down to mellow relaxation over time. "
Jacked-Up,"Berry, Citrus, Lemon",hybrid,"Hungry, Creative, Energetic, Focused, Aroused, Uplifted",Dry Mouth,"Depression, Insomnia, Stress, Lack of Appetite, Headache, Fatigue",4.1,"Originally bred by Heroes of the Farm, Jacked-Up is a 60/40 sativa-dominant hybrid cross between Jack Herer and Timewreck. It typically provides strong cerebral, uplifting effects ideal for daytime use. These resin-packed flowers boast a spicy, woody aroma with intricate undertones of berry, citrus, peaches, and apricots. As multifaceted as its flavor profile, Jacked-Up buds are a colorful display of lavender and green pastels bursting with orange hairs."
Jahwaiian,"Sweet, Tropical, Earthy",sativa,"Euphoric, Happy, Creative, Energetic, Aroused",,Pain,4.7,"Jahwaiian by Pua Mana 1st Hawaiian Pakalōlō Seed Bank is a tropical mashup of two legendary strains. By combining Lamb’s Bread genetics sourced directly from Nine Mile, St. Anne’s, Jamaica, and the “Sweet Lady of Waiāhole” (AKA Hawai’i ‘78), Pua Mana crafted an uplifting strain that harnesses the tropical vibes and aromas distinct to the Hawaiian and Caribbean coastlines. Jahwaiian’s effects are stimulating, delivering plenty of energy to the body. Also anticipate a manageable headiness that encourages self-reflection. This strain may help curb depression and fatigue while encouraging physical activity."
Jamaican,"Earthy, Tropical, Skunk, Pungent, Woody",sativa,"Euphoric, Happy, Energetic, Talkative, Uplifted, Creative","Dizzy, Dry Mouth, Dry Eyes, Anxious","Depression, Insomnia, Stress, Fatigue, Headaches",4.3,"Jamaican refers to the indigenous varieties of cannabis (or landraces) that grow natively in this region of the world. Because of Jamaica's latitude and climate, these varieties tend to be sativa in structure and effect."
Jazz,"Citrus, Pepper, Sweet, Flowery",hybrid,"Euphoric, Happy, Creative, Energetic, Uplifted, Relaxed","Dry Mouth, Dry Eyes, Anxious","Depression, Pain, Stress, Fatigue, Headaches",4.3,"Jazz is the mysterious combination of a Mexican landrace from Oaxaca and an Iranian landrace indica. Even with its hot heritage, gardeners consistently note how well this strain grows in colder climates. Expect notes of hash and pepper on the palate that translate to a full-bodied smoke or vapor when combusted. When grown indoors, this strain has been known to reach 3 to 4 feet tall, but when planted outdoors, this plant shoots upwards, reaching nearly 6 feet in height. "
Jenni,"Sweet, Berry, Tree Fruit, Tree, Fruit",sativa,"Relaxed, Euphoric, Happy, Creative, Energetic, Uplifted",,"Depression, Pain, Stress, Lack of Appetite, Headaches",4.8,"Jenni is a lightweight sativa strain grown by Peace Naturals Project Inc. in Canada. A sweet fruity aroma emanates from Jenni’s pointed buds, providing a flavorful precursor to this strain’s soothing, clear-headed effects. With a modest THC level that typically reaches just 10%, Jenni allows you to remain functional and productive throughout the day. These easy-to-manage effects makes Jenni a great choice for novice consumers who need to treat aches, pains, and other symptoms without the anxiety that often comes with too much THC. "
Jesus,"Citrus, Earthy, Lavender, Lemon",hybrid,"Relaxed, Euphoric, Happy, Creative, Uplifted, Giggly, Tingly",,"Depression, Insomnia, Pain, Stress, Nausea",4.5,"Jesus, not to be confused with Jesus OG, is a Seattle staple grown by Solstice. This hybrid is a cross between White Widow and Blue Dynamite, a combination that gives rise to pungent, resin-loaded buds that smell of sweet lemon and herbs. Its cerebrally-focused effects give way to happy moods and outbursts of giggles, with soothing full-body relaxation trailing close behind."
Jillybean,"Citrus, Sweet, Orange",hybrid,"Euphoric, Happy, Creative, Energetic, Uplifted, Relaxed","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Pain, Stress, Lack of Appetite, Headache, Fatigue",4.3,"Jillybean is described as being an upbeat and happy hybrid, with flavors of tangy orange and mango. This strain is a top choice for creative minds and social butterflies looking for unencumbered euphoria during daytime hours. Bred by crossing Orange Velvet and Space Queen, Jillybean often expresses herself in deep hues of maroon on the leaves. "
Jr,"Earthy, Pungent, Sweet",indica,"Relaxed, Euphoric, Happy, Uplifted, Sleepy, Hungry","Dizzy, Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Insomnia, Pain, Stress, Lack of Appetite",4.5,"Named after the dark alcoholic beverage from Germany, Jr is an indica-dominant strain with a tinge of black licorice in its aroma. Little is known about its genetics, but rumor has placed Jr somewhere in the Hindu Kush genealogy or a cross of LA Confidential and Blue Dream. Some also suspect it was bred and popularized in Southern Oregon. As stupefying as its name makes it out to be, Jr's full body effects are better described as relaxing than sedating."
Juliet,"Spicy/Herbal, Pine, Earthy, Sweet",hybrid,"Relaxed, Euphoric, Happy, Energetic, Focused, Uplifted","Dizzy, Dry Mouth","Depression, Pain, Stress, Headache, Fatigue, Muscle Spasms",4.5,Juliet is a sativa-dominant hybrid cross between Cinderella 99 and NYC Diesel that uplifts both mind and body with a sweet berry aroma. A subtle buzz of cerebral energy promotes focus and sharpens the senses in a comfortable psychoactive experience conducive to social activities. Juliet’s happy calm may be useful for patients treating mood and stress disorders like anxiety and depression.
K-Train,"Earthy, Citrus, Tree Fruit, Tree, Fruit, Lemon",indica,"Relaxed, Euphoric, Happy, Creative, Uplifted","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Insomnia, Pain, Stress, Cramps, Headache",4.4,"K-Train is a mostly indica strain that was developed by Greenhouse Seeds as a cross between OG Kush and Trainwreck. These parents are both popular in their own right and were chosen to try and combine their prized effects: the muscle-relaxant qualities of OG Kush with the lucid mental buzz that Trainwreck induces. Once you get on the K-Train, be prepared to sit back and relax with something creative for a while. Thanks to its potency, it’s a popular medical choice to treat depression, stress disorders, and pain for patients who want to relax without total sedation. Still a strong indica, the K-Train hits you hard and fast and may prove to be an intense ride for some. These plants are easy to grow and should flower in 9 weeks with the oversized buds that are characteristic of its Trainwreck lineage. K-Train’s Kush genetics dominate the aroma, making it sweet and earthy with a hint of black licorice."
K1,"Ammonia, Pepper, Pine, Chemical",hybrid,"Happy, Energetic, Uplifted, Focused, Giggly, Euphoric, Relaxed",,"Depression, Pain, Stress, Fatigue, Headaches",4.1,K1 is a sativa-dominant hybrid cross between Durban Poison and LA Kush. This variety took third place in the hash category of the 2014 Denver Cannabis Cup.
K2,"Earthy, Citrus, Sweet",hybrid,"Relaxed, Hungry, Happy, Sleepy, Giggly","Dry Mouth, Dry Eyes, Anxious","Depression, Insomnia, Pain, Stress, Nausea, Headache",4.0,"Named for Earth's second highest mountain peak, K2 is sure to leave you at a higher elevation. The mellow flavor is accented with hints of fruit and spice, and the captivating aroma helped to make it a staple at coffee shops in Amsterdam. A cross between White Widow and Hindu Kush, this dependable Dutch hybrid first attracted growers for its compact stature, while the relaxing indica effects have kept consumers who battle anxiety and insomnia asking for more."
Kaboom,"Pine, Earthy, Lemon",sativa,"Happy, Energetic, Talkative, Uplifted, Focused, Creative, Euphoric","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Pain, Stress, Nausea, Headache, Fatigue",4.5,Kaboom is a cross that combines Jack's Cleaner genetics with those of Vortex. This sativa-dominant strain gives you an energetic head buzz that provides a spark of creativity and lifts the mood. Medical patients enjoy Kaboom's ability to relieve pain while maintaining daily functions.
Kahuna,"Orange, Pineapple, Pungent, Sweet, Tropical",indica,"Relaxed, Euphoric, Creative, Uplifted, Focused","Dry Mouth, Dry Eyes","Depression, Insomnia, Pain, Stress, Fatigue",4.2,"Kahuna is a 4-way cross between Super Skunk, Big Skunk Korean, Jack Herer, and Afghan Hawaiian that brings together a wide set of influences for a complex high. The Kahuna variety has both tropical influences in its parentage and spiritually attuning effects when used."
Kalashnikova,"Sweet, Flowery, Earthy, Citrus",hybrid,"Euphoric, Happy, Talkative, Uplifted, Focused, Relaxed, Energetic, Hungry, Sleepy",Dry Mouth,"Depression, Insomnia, Pain, Stress, Headache, Fatigue",4.3,"Kalashnikova is Green House Seeds’ hybrid of AK-47 and White Widow. It produces strong, long-lasting indica effects while maintaining a clear train of thought. Kalashnikova’s aroma is a mixture of lemon, mango, and sweet honey. With flavors of spiced hash and earthy musk, Kalashnikova ushers in full body relaxation while stimulating creativity, and allows you maintain an outgoing nature in social settings."
Kandahar,"Earthy, Apricot, Honey, Spicy/Herbal",indica,"Relaxed, Euphoric, Sleepy, Giggly, Uplifted","Dizzy, Dry Mouth","Depression, Insomnia, Pain, Stress",4.7,"Kandahar, named after the homeland of its ancestor, is a 90% indica strain bred by the Ministry of Cannabis. Its Afghani parent, grown near the city of Kandahar, was crossed with an unknown Afghan Skunk hybrid to help lighten some of the indica intensity. The result is a powerful but functional strain that goes best with relaxing activities at home. Its aroma is a complex blend of earthy wood with nutty undertones that are only fully realized in Kandahar’s taste. Kandahar exhibits the typical indica stature: short, bushy plants with thick layers of crystal trichomes. Indoor gardens finish flowering between 8 and 9 weeks, while outdoor harvest falls at the beginning of October."
Khufu,"Pungent, Sweet, Woody",indica,"Relaxed, Euphoric, Happy, Uplifted, Focused, Sleepy","Dry Mouth, Dry Eyes","Depression, Insomnia, Pain, Stress, Headaches",4.2,"Khufu is an indica-dominant hybrid from The Devil’s Harvest Seed Company that combines Cheese, Afghani #1, and SFV OG genetics to excellent effect. Growers can expect extremely high yields of potent Kush-type flowers, with giant calyxes and very little leaf. The effects of Khufu will leave you wanting nothing more than to gorge on snacks while glued to your favorite chair. Patients treating pain, anxiety, nausea, and insomnia may benefit from Khufu’s therapeutic effects."
Kilimanjaro,"Earthy, Spicy/Herbal, Pepper, Lemon",sativa,"Euphoric, Happy, Creative, Energetic, Uplifted, Focused","Dizzy, Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Pain, Stress, Fatigue, Headaches",4.5,"Kilimanjaro is a pure sativa landrace from the mountain slopes of Tanzania, where it was originally cultivated for use in hunting and religious practice by the native population. Tribes commonly referred to this strain as the “elephant stomper” and utilized it for its energetic, hyper effects. Its aroma carries notes of lemony citrus and fruit, and Kilimanjaro’s tall growth makes it ideal for outdoor or greenhouse gardens."
Kiwiskunk,"Spicy/Herbal, Woody, Citrus, Pungent",indica,"Hungry, Euphoric, Happy, Sleepy, Aroused, Tingly",,"Depression, Insomnia, Stress, Headache",3.9,"In the late 1980s, the Skunk invasion landed on New Zealand’s shores. Kiwiskunk was introduced when a New Zealand Skunk variety met NYC Diesel, adding a little something extra to its flavor profile. This 75/25 indica-dominant strain gives off a very potent skunky smell with sweet and citrus flavor. You’ll likely be left with a happy but couch-locked feeling best enjoyed while curling up to a comedy movie."
Kong,"Citrus, Earthy, Flowery, Woody, Skunk",hybrid,"Relaxed, Euphoric, Happy, Creative, Tingly, Sleepy, Hungry","Dizzy, Dry Mouth, Dry Eyes, Anxious","Depression, Pain, Stress, Headache, Inflammation, Muscle Spasms",4.7,"Kong is an indica-dominant strain bred by Holy Smoke Seeds, who created this hybrid by crossing Motavation with a backcrossed White Russian. This powerhouse hybrid takes after its namesake in both strength and appearance, with hairy buds that secrete massive amounts of THC-rich resin. As promised by its heavy trichome coverage, Kong packs a punch and leaves your body anchored in relaxation while your mind floats to happy escapes."
Kraken,"Butter, Flowery, Tea, Citrus, Cheese",indica,"Relaxed, Euphoric, Happy, Sleepy, Creative, Energetic","Paranoid, Dry Eyes","Pain, Stress, Headaches, Eye Pressure, Muscle Spasms",4.4,"Kraken is a mythical strain of unknown parentage brought to us from Spanish breeder Buddha Seeds. Breeding with power and production in mind, this indica hybrid produces chunky, dense buds with a blanket of crystal resin. Producing big harvests and intensely euphoric effects, this monster of an indica lives up to its name. "
Kryptonite,"Earthy, Sweet, Pungent, Flowery, Tropical",indica,"Relaxed, Euphoric, Happy, Uplifted, Sleepy, Creative, Giggly","Dizzy, Dry Mouth, Paranoid, Anxious","Insomnia, Pain, Stress, Nausea, Headache, Headaches",4.3,"A mysterious clone-only hybrid, Kryptonite is rumored to be a cross between Mendocino Purps and Killer Queen created by breeders at the Bay Area’s famed Oaksterdam University. Known to produce THC levels up to of 25%, this indica-dominant strain is a good choice for those seeking to treat serious pain without the extreme sleepiness associated with some pure indicas. Kryptonite features a musty tropical fruit smell and a sweet, sugary flavor reminiscent of Cinderella 99, one of the parent strains to Killer Queen. "
Kuato,"Orange, Pungent, Sweet",hybrid,"Euphoric, Happy, Creative, Talkative, Aroused, Tingly, Uplifted",Dry Mouth,"Depression, Pain",5.0,"“Open your mind” with this hybrid strain named for everyone’s favorite alien baby. Bred by Terraform Genetics, Kuato’s resin-coated buds release a strong spicy aroma with an orange zest. This cross between Alien Orange Cookie and Blucifer takes after its ancestor Blue Dream, boasting an energetic body buzz and uplifted cerebral experience. A great plant for growers of all levels, expect high yields of dense, frosty flowers in around 50 days."
Kuchi,"Lemon, Earthy, Sweet",hybrid,"Relaxed, Creative, Energetic, Giggly, Aroused, Euphoric, Focused","Dry Mouth, Anxious","Depression, Pain, Stress, Fatigue, Headaches",3.6,"Kuchi is a hybrid bred by Devil’s Harvest Seed Company. It combines Exodus Cheese and SFV OG Kush to produce a sweet, tangy fruit flavor with a piney note from the Kush influence. Though balanced between relaxing indica and uplifting sativa genetics, the indica punch often shines through thanks to the influence of SFV OG Kush’s potent pain-fighting effects."
Kushadelic,"Pine, Earthy, Berry, Pungent",indica,"Relaxed, Hungry, Euphoric, Sleepy, Uplifted, Focused","Dry Mouth, Dry Eyes","Insomnia, Pain, Stress, Lack of Appetite, Inflammation",4.5,"Kushadelic from Soma Seeds mixes the potency of indica with the cerebral energy of a sativa in this G-13 Haze and OG Kush cross. Whether you’re out socializing or enjoying your own company, Kushadelic provides a comfortable, versatile buzz in moderate doses. The floral, citrus aroma from Kushadelic’s Haze genetics pierces through dominant earthy and hashy notes. Soma recommends growing Kushadelic in organic soil and allowing 10 to 11 weeks for its full flowering indoors."
Kushage,"Earthy, Tea, Honey, Sage, Spicy/Herbal",hybrid,"Relaxed, Euphoric, Happy, Creative, Tingly, Hungry","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Pain, Stress, Headache, Inflammation, Muscle Spasms",4.4,"This sativa-dominant marijuana hybrid strain was developed to be a resilient, hardy grower and won its breeders at T.H. Seeds 3rd place in the sativa category at the 2005 High Times Cannabis Cup. Kushage plants come from OG Kush and SAGE parents, and like many sativas, they have a slightly longer flowering time at 10-11 weeks. These plants have lots of branches with dark green leaves, but its buds are light green and smell like fresh cut pine. Kushage is a good choice for a cerebral buzz and might just get those creative juices flowing."
Kushashima,"Pine, Pungent, Nutty, Sweet",hybrid,"Relaxed, Euphoric, Creative, Energetic, Sleepy, Uplifted",,"Depression, Pain",4.0,Kushashima is a hybrid strain that competed in the 2014 L.A. Cannabis Cup.
Kushberry,"Berry, Sweet, Earthy, Lemon",indica,"Relaxed, Hungry, Euphoric, Happy, Sleepy, Uplifted, Creative","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Insomnia, Pain, Stress, Lack of Appetite, Headache, Seizures",4.3,"Kushberry is the perfect blend of two West Coast flavors, Blueberry from Oregon and the OG Kush from LA. The exotic flavor doesn’t rival its strength; it is one of DNA Genetics strongest strains. Kushberry is known for relieving pain, sleeplessness, and appetite loss."
Lamborghini,"Diesel, Pine, Lemon, Lime",hybrid,"Relaxed, Hungry, Euphoric, Uplifted, Sleepy, Happy",Dry Eyes,"Depression, Insomnia, Stress, Fatigue, Headaches",4.0,"Lamborghini, or just Lambo, is a sativa-dominant hybrid strain that combines the upbeat, high-energy Lamb’s Bread with the relaxing and blissful qualities of Holy Grail Kush. This strain inherits a complex flavor profile that begins with a sharp piney inhale and ends with a sour lime exhale. Its large buds bloom with a sticky coat of crystal trichomes in a show of Lambo’s potency."
Lavender,"Lavender, Flowery, Sweet",indica,"Relaxed, Euphoric, Happy, Uplifted, Sleepy","Dizzy, Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Insomnia, Pain, Stress, Nausea",4.1,"Built from strains around the world, Lavender by Soma Seeds has its origins from Super Skunk, Big Skunk Korean and Afghani Hawaiian. This strain, sometimes referred to as Lavender Kush, has dense buds that give off a floral and spicy aroma. It has a dark purple coloration at the ends of its leaves."
Lemonberry,"Lemon, Blueberry, Citrus, Sweet",hybrid,"Relaxed, Euphoric, Happy, Uplifted, Giggly, Energetic, Creative","Dizzy, Dry Mouth, Dry Eyes","Depression, Pain, Stress, Headache, Fatigue, Muscle Spasms",4.3,"Dabney Blue and Lemon Thai come together to produce Lemonberry by Fusion Seeds. Dabney Blue imparts its berry flavors and the sweet aroma of blueberry muffins, typical of strains influenced by DJ Short’s Blueberry line. Lemon Thai adds its own touch of citrus flavors and uplifting effects. Lemonberry is a strain rooted in the Pacific Northwest and is desired for its collage of flavors and balanced effects. The sativa influence in this hybrid helps form a happy head buzz that initiates bouts of creativity and the giggles."
Lemonder,"Citrus, Lemon, Earthy",hybrid,"Euphoric, Happy, Creative, Uplifted, Focused, Giggly, Energetic",,"Depression, Insomnia, Pain, Stress, Headaches",4.5,"Lemonder is a body-heavy hybrid with an outstanding aroma. This strain is a cross of Lavender, Super Lemon Haze, and OG Kush, and offers alert mental clarity and relaxing physical effects. The buds glitter with trichomes and are tangled in orange/bronze hairs. Its aroma smells like lemon peel, pine needles, and a sprinkling of earthy spice. Enjoy Lemonder throughout the day as its effects are manageable and won’t pull too firmly toward stimulation or relaxation. Expect smile-inducing euphoria and a calming, carefree body buzz. "
Leonidas,"Grape, Lavender, Violet",sativa,"Creative, Energetic, Focused, Aroused, Uplifted",Dry Mouth,"Depression, Insomnia, Stress, Lack of Appetite, Muscle Spasms",4.0,"Leonidas is a Super Silver Haze variation produced by Canadian LP Tweed. With genetic roots stemming from Haze, Skunk #1, and Northern Lights, this sativa-dominant strain lifts you into a state of unencumbered happiness and focus. Citrus flavors mingle with a sweet and sour bite inherited from Leonidas’ Skunk ancestor, providing a flavorful precursor to the weightless euphoria to come. Like the Spartan warlord this strain was named after, Leonidas delivers a swift kick to depression, fatigue, and stress and sends them down a bottomless black pit."
