,name,flavors,id,race,positive,negative,medical
889,Hawai’i ‘78,"Flowery, Pineapple, Sweet",1001,sativa,"Relaxed, Euphoric, Happy, Creative, Aroused",,
890,Haze,"Earthy, Sweet, Woody",1002,sativa,"Euphoric, Happy, Creative, Energetic, Uplifted","Dizzy, Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Pain, Stress, Lack of Appetite, Fatigue"
891,Haze Berry,"Sweet, Blueberry, Berry",1003,sativa,"Relaxed, Happy, Energetic, Uplifted, Giggly","Dizzy, Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Pain, Stress, Cramps, Fatigue"
892,Haze Heaven,"Pungent, Spicy/Herbal, Blueberry",1004,hybrid,"Happy, Creative, Energetic, Talkative, Uplifted","Dry Mouth, Anxious","Depression, Pain, Stress, Fatigue, Inflammation"
893,Haze Wreck,"Skunk, Sweet, Cheese",1006,sativa,"Euphoric, Happy, Creative, Uplifted, Focused","Dizzy, Dry Mouth","Depression, Pain, Stress, Lack of Appetite, Nausea"
894,Head Cheese,"Cheese, Pungent, Earthy",1007,hybrid,"Relaxed, Euphoric, Happy, Creative, Uplifted","Dry Mouth, Dry Eyes, Anxious","Depression, Pain, Stress, Headache, Inflammation, Muscle Spasms"
895,Head Trip,"Earthy, Spicy/Herbal, Coffee",1008,hybrid,"Relaxed, Happy, Uplifted, Sleepy, Focused",,"Depression, Insomnia, Pain, Stress, Headaches"
896,Headband,"Earthy, Pungent, Diesel",1009,hybrid,"Relaxed, Euphoric, Happy, Creative, Uplifted","Dizzy, Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Pain, Stress, Fatigue, Headaches"
897,Headbanger,"Diesel, Skunk, Sweet",1010,hybrid,"Relaxed, Sleepy, Giggly","Dizzy, Dry Mouth, Dry Eyes","Depression, Pain, Stress, Lack of Appetite, Headache, Headaches"
898,Heaven Scent,"Flowery, Minty, Pungent",1011,hybrid,"Euphoric, Creative, Energetic, Focused",Dry Mouth,
899,Heavy Duty Fruity,"Sweet, Flowery, Berry",1012,hybrid,"Relaxed, Euphoric, Happy, Tingly, Sleepy","Dizzy, Dry Mouth, Dry Eyes","Depression, Insomnia, Pain, Stress, Nausea, Headache"
900,Heisenberg Kush,"Strawberry, Sweet, Grape",1013,sativa,"Relaxed, Euphoric, Happy, Energetic, Uplifted",Dry Mouth,"Depression, Pain, Stress, Fatigue, Eye Pressure"
901,Hell Raiser OG,"Citrus, Pine, Spicy/Herbal",1014,hybrid,"Relaxed, Euphoric, Happy, Talkative, Uplifted",Dry Eyes,"Depression, Pain, Stress, Headache"
902,Hell's Angel OG,"Earthy, Pine, Sweet",1015,hybrid,"Relaxed, Hungry, Euphoric, Happy, Creative","Dizzy, Dry Mouth, Dry Eyes, Anxious","Depression, Insomnia, Pain, Stress, Nausea, Headache"
903,Hellfire OG,"Earthy, Citrus, Pungent",1016,hybrid,"Relaxed, Hungry, Euphoric, Happy, Sleepy",Dry Mouth,"Depression, Insomnia, Pain, Stress, Inflammation"
904,Hemlock,"Earthy, Sweet, Citrus",1017,hybrid,"Relaxed, Happy, Creative, Uplifted, Focused","Dry Mouth, Dry Eyes","Depression, Pain, Stress, Nausea, Fatigue"
905,Hempstar,"Woody, Pungent, Sweet",1018,sativa,"Euphoric, Happy, Creative, Energetic, Uplifted","Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Pain, Stress, Lack of Appetite, Nausea, Headache"
906,Hercules,"Earthy, Sweet, Citrus",1019,hybrid,"Happy, Creative, Energetic, Focused, Giggly",,"Insomnia, Stress, Eye Pressure"
907,Herijuana,"Earthy, Spicy/Herbal, Woody",1020,indica,"Relaxed, Euphoric, Happy, Uplifted, Sleepy","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Insomnia, Pain, Stress, Headache, Headaches"
908,Hibiscus Sunrise,"Flowery, Lavender, Earthy",1021,hybrid,"Relaxed, Euphoric, Happy, Energetic, Uplifted","Dry Mouth, Anxious","Depression, Stress, Nausea, Fatigue, Headaches"
909,Higher Power,"Grape, Flowery, Tree Fruit",1022,sativa,"Relaxed, Happy, Creative, Uplifted, Focused",,"Depression, Insomnia, Stress, Lack of Appetite, Headaches"
910,Highwayman,"Flowery, Earthy, Sweet",1023,hybrid,"Relaxed, Euphoric, Happy, Focused, Giggly",,"Lack of Appetite, Nausea, Fatigue, Headaches, Eye Pressure"
911,Himalayan Blackberry,"Berry, Blueberry, Flowery",1024,indica,"Relaxed, Euphoric, Happy, Tingly, Sleepy","Dry Mouth, Dry Eyes","Depression, Insomnia, Stress, Lack of Appetite, Headaches"
912,Himalayan Gold,"Menthol, Spicy/Herbal, Pine",1025,hybrid,"Relaxed, Euphoric, Happy, Sleepy","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Insomnia, Pain, Stress, Headaches, Inflammation"
913,Hindu Kush,"Earthy, Sweet, Woody",1026,indica,"Relaxed, Hungry, Euphoric, Happy, Sleepy","Dizzy, Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Insomnia, Pain, Stress, Lack of Appetite"
914,Hindu Skunk,"Skunk, Earthy, Woody",1027,indica,"Relaxed, Euphoric, Happy, Energetic, Giggly","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Stress, Lack of Appetite, Nausea, Headache, Headaches"
915,Hippie Chicken,"Sweet, Tree Fruit, Pepper",1028,sativa,"Euphoric, Happy, Creative, Uplifted, Giggly","Dizzy, Dry Mouth, Dry Eyes","Depression, Pain, Stress, Nausea, Fatigue"
916,Hippie Crippler,"Pine, Earthy, Woody",1029,hybrid,"Happy, Creative, Energetic, Uplifted","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Stress, Lack of Appetite, Fatigue, Spasticity"
917,Hoarfrost,"Spicy/Herbal, Vanilla, Woody",1030,hybrid,"Hungry, Euphoric, Happy, Creative, Focused",,"Depression, Stress, Nausea, Fatigue, Eye Pressure"
918,Hobbit,"Earthy, Strawberry, Berry",1031,hybrid,"Happy, Uplifted, Tingly, Focused",Dry Eyes,"Depression, Insomnia, Pain, Stress, Spasticity"
919,Hog's Breath,"Earthy, Woody, Flowery",1032,indica,"Relaxed, Euphoric, Happy, Talkative, Sleepy","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Insomnia, Pain, Stress, Nausea, Headache"
920,Holland's Hope,"Pungent, Pine, Earthy",1033,indica,"Relaxed, Euphoric, Happy, Creative, Uplifted","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Insomnia, Pain, Stress, Headache, Spasticity"
921,Hollywood OG,"Earthy, Diesel, Menthol",1034,hybrid,"Relaxed, Happy, Energetic, Focused","Dizzy, Dry Mouth, Dry Eyes, Anxious","Depression, Insomnia, Pain, Stress, Lack of Appetite, Headache"
922,Holy Ghost,"Diesel, Citrus, Earthy",1035,hybrid,"Relaxed, Creative, Tingly, Giggly",Dry Mouth,"Depression, Pain, Stress, Fatigue, Muscle Spasms"
923,Holy Grail Kush,"Earthy, Sweet, Pungent",1036,hybrid,"Relaxed, Euphoric, Happy, Creative, Uplifted","Dizzy, Dry Mouth, Dry Eyes, Anxious","Depression, Insomnia, Pain, Stress, Headache, Inflammation"
924,Honey Bananas,"Honey, Sweet, Tropical",1037,hybrid,"Relaxed, Euphoric, Happy, Uplifted, Giggly","Dry Mouth, Anxious","Depression, Pain, Stress, Fatigue, Muscle Spasms"
925,Honey Boo Boo,"Sweet, Honey, Berry",1038,indica,"Relaxed, Euphoric, Tingly, Sleepy","Dry Mouth, Anxious","Depression, Insomnia, Pain, Stress, Lack of Appetite"
926,Hong Kong,"Earthy, Diesel, Grapefruit",1040,hybrid,"Relaxed, Euphoric, Happy, Creative, Energetic","Dizzy, Dry Mouth, Dry Eyes","Depression, Insomnia, Pain, Stress, Fatigue"
927,Hoodwreck,"Sweet, Earthy, Flowery",1041,sativa,"Euphoric, Happy, Creative, Energetic, Focused",,"Depression, Cramps, Fatigue, Headaches, Eye Pressure"
928,Huckleberry,"Berry, Sweet, Flowery",1042,hybrid,"Relaxed, Euphoric, Happy, Uplifted, Giggly","Dizzy, Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Pain, Stress, Inflammation, Muscle Spasms"
929,Huckleberry Hound,"Blueberry, Chemical, Skunk",1043,hybrid,"Relaxed, Euphoric, Happy, Creative",,
930,Hulkamania,"Berry, Earthy, Flowery",1044,indica,"Relaxed, Euphoric, Happy, Tingly, Aroused",,"Depression, Insomnia, Lack of Appetite, Headaches, Inflammation"
931,Humboldt,"Woody, Earthy, Pine",1045,hybrid,"Euphoric, Happy, Creative, Uplifted","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Pain, Stress, Headache, Headaches, Muscle Spasms"
932,Humboldt Dream,"Berry, Earthy, Sweet",1046,indica,"Relaxed, Happy, Creative, Uplifted",Dry Eyes,"Depression, Insomnia, Pain, Stress, Lack of Appetite"
933,Humboldt Headband,"Grape, Sweet, Berry",1047,indica,"Relaxed, Euphoric, Happy, Sleepy",Dizzy,"Depression, Insomnia, Pain, Stress, Lack of Appetite"
934,Hurkle,"Sweet, Earthy, Berry",1048,hybrid,"Relaxed, Hungry, Happy, Uplifted, Sleepy","Dizzy, Dry Mouth, Dry Eyes","Insomnia, Pain, Stress, Inflammation, Muscle Spasms"
935,Hurricane,"Pine, Spicy/Herbal, Sweet",1049,sativa,"Relaxed, Happy, Energetic, Uplifted, Focused","Dizzy, Anxious","Depression, Insomnia, Pain, Stress, Fatigue"
936,Hustler Kush,"Earthy, Woody, Sweet",1050,hybrid,"Relaxed, Euphoric, Happy, Energetic, Sleepy",,"Depression, Pain, Stress, Lack of Appetite, Eye Pressure"
937,ICED Grapefruit,"Grapefruit, Citrus, Sweet",1051,hybrid,"Relaxed, Euphoric, Happy, Creative, Uplifted","Dry Mouth, Dry Eyes","Depression, Pain, Stress, Lack of Appetite, Fatigue"
938,IG Kush,"Sweet, Earthy, Orange",1053,hybrid,"Relaxed, Happy, Sleepy","Dry Mouth, Dry Eyes","Insomnia, Pain, Stress, Lack of Appetite, Headaches"
939,Ice,"Diesel, Flowery, Sweet",1054,hybrid,"Relaxed, Euphoric, Happy, Uplifted, Focused","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Insomnia, Pain, Stress, Nausea, Headache"
940,Ice Cream,"Sweet, Vanilla, Berry",1055,hybrid,"Relaxed, Euphoric, Happy, Uplifted, Focused","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Insomnia, Pain, Stress, Headache, Fatigue"
941,Ice Princess,Tropical,1056,hybrid,"Relaxed, Euphoric, Happy","Dry Mouth, Dry Eyes","Depression, Insomnia, Pain, Stress, Fatigue"
942,Ice Queen,"Earthy, Sweet, Flowery",1057,hybrid,"Relaxed, Euphoric, Happy, Energetic, Uplifted","Dizzy, Dry Mouth, Dry Eyes, Anxious","Depression, Pain, Stress, Nausea, Headache, Headaches"
943,Ice Wreck,"Ammonia, Earthy, Pungent",1058,hybrid,"Relaxed, Euphoric, Happy, Tingly","Dizzy, Dry Mouth, Paranoid, Anxious","Depression, Pain, Stress, Nausea, Headache, Spasticity"
944,Iced Widow,"Earthy, Butter, Pine",1059,indica,"Relaxed, Euphoric, Happy, Talkative, Giggly","Dry Mouth, Anxious","Depression, Pain, Stress, Lack of Appetite, Fatigue"
945,Ill OG,"Earthy, Pine, Pungent",1060,indica,"Euphoric, Happy, Giggly","Dry Mouth, Dry Eyes","Depression, Insomnia, Lack of Appetite, Eye Pressure, Inflammation"
946,Illuminati OG,"Earthy, Sweet, Citrus",1061,indica,"Relaxed, Hungry, Happy, Tingly, Sleepy","Dizzy, Dry Mouth, Dry Eyes","Depression, Insomnia, Stress, Lack of Appetite, Headache, Spasticity"
947,In The Pines,"Pine, Pineapple, Tropical",1062,sativa,"Relaxed, Euphoric, Creative, Uplifted, Focused","Dizzy, Paranoid, Dry Eyes","Depression, Pain, Stress, Headache, Inflammation, Muscle Spasms"
948,Incredible Bulk,"Earthy, Citrus, Pungent",1063,indica,"Relaxed, Euphoric, Happy, Sleepy, Focused","Dry Mouth, Paranoid, Dry Eyes, Anxious","Insomnia, Pain, Stress, Nausea, Muscle Spasms"
949,Incredible Hulk,"Sweet, Earthy, Pine",1064,sativa,"Relaxed, Euphoric, Happy, Creative, Uplifted","Dizzy, Dry Mouth, Dry Eyes, Anxious","Depression, Pain, Stress, Lack of Appetite, Muscle Spasms"
950,Industrial Plant,"Citrus, Honey, Tobacco",1065,hybrid,"Euphoric, Happy, Creative, Energetic, Uplifted",Paranoid,"Depression, Insomnia, Stress, Fatigue, Headaches"
951,Ingrid,"Sweet, Cheese, Skunk",1066,indica,"Relaxed, Hungry, Euphoric, Happy, Sleepy","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Pain, Stress, Cramps, Nausea, Headache"
952,Irene OG,"Earthy, Sweet, Pungent",1068,hybrid,"Relaxed, Happy, Energetic, Uplifted, Focused","Dry Mouth, Dry Eyes","Depression, Insomnia, Stress, Fatigue, Headaches"
953,Iron Triangle,"Diesel, Earthy, Lemon",1070,hybrid,"Hungry, Happy, Uplifted, Tingly, Giggly",,"Depression, Insomnia, Pain, Stress, Cramps"
954,Island Haze,"Sweet, Berry, Blueberry",1071,sativa,"Euphoric, Creative, Energetic, Uplifted",Dry Mouth,"Depression, Stress, Fatigue"
955,Island Maui Haze,"Mango, Tropical, Ammonia",1072,sativa,"Euphoric, Creative, Uplifted, Tingly",Anxious,"Depression, Stress, Cramps, Nausea, Headaches"
956,Island Sweet Skunk,"Sweet, Tropical, Skunk",1073,sativa,"Euphoric, Happy, Energetic, Uplifted, Focused","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Pain, Stress, Headache, Fatigue, Headaches"
957,J's Famous Kush,"Earthy, Pepper, Skunk",1074,hybrid,"Relaxed, Hungry, Focused",,"Stress, Lack of Appetite, Spasticity"
958,J-27,"Diesel, Earthy, Woody",1075,sativa,"Euphoric, Creative, Energetic, Uplifted, Focused","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Pain, Stress, Nausea, Headaches, Inflammation"
959,J1,"Sweet, Earthy, Skunk",1076,hybrid,"Relaxed, Euphoric, Happy, Energetic, Uplifted","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Pain, Stress, Headache, Fatigue, Headaches"
960,Jack 47,"Earthy, Spicy/Herbal, Woody",1078,hybrid,"Relaxed, Euphoric, Happy, Creative, Energetic","Dry Mouth, Dry Eyes","Depression, Stress, Lack of Appetite, Fatigue, Inflammation"
961,Jack Burton,"Butter, Flowery, Rose",1079,indica,"Euphoric, Creative, Focused, Aroused",Dizzy,"Insomnia, Pain, Stress, Fatigue, Inflammation"
962,Jack Diesel,"Diesel, Earthy, Flowery",1080,sativa,"Euphoric, Happy, Energetic, Focused, Giggly","Dizzy, Dry Mouth, Dry Eyes","Depression, Insomnia, Lack of Appetite, Fatigue, Inflammation"
963,Jack Flash,"Citrus, Sweet, Earthy",1081,hybrid,"Relaxed, Euphoric, Happy, Energetic, Uplifted","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Insomnia, Pain, Stress, Headache, Fatigue"
964,Jack Frost,"Citrus, Earthy, Sweet",1082,hybrid,"Relaxed, Euphoric, Happy, Energetic, Uplifted","Dizzy, Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Pain, Stress, Lack of Appetite, Fatigue"
965,Jack Haze,"Earthy, Spicy/Herbal, Woody",1083,hybrid,"Happy, Creative, Energetic, Talkative, Uplifted","Dizzy, Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Pain, Stress, Fatigue, Headaches"
966,Jack Herer,"Earthy, Pine, Woody",1084,sativa,"Euphoric, Happy, Creative, Energetic, Uplifted","Dizzy, Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Pain, Stress, Lack of Appetite, Fatigue"
967,Jack Kush,"Citrus, Sweet, Pungent",1085,hybrid,"Relaxed, Hungry, Euphoric, Happy, Uplifted","Dizzy, Dry Mouth, Dry Eyes, Anxious","Pain, Stress, Lack of Appetite, Headache, Inflammation, Muscle Spasms"
968,Jack Skellington,"Diesel, Citrus, Pungent",1086,sativa,"Relaxed, Euphoric, Happy, Creative, Energetic","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Pain, Stress, Fatigue, Muscle Spasms"
969,Jack Smack,"Blueberry, Earthy, Spicy/Herbal",1087,sativa,"Relaxed, Happy, Energetic, Uplifted, Focused",,"Depression, Stress, Lack of Appetite, Fatigue, Headaches"
970,Jack Widow,"Sweet, Earthy, Mango",1088,hybrid,"Euphoric, Happy, Creative, Energetic, Uplifted","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Pain, Stress, Nausea, Fatigue, Headaches"
971,Jack Wreck,"Citrus, Pungent, Blue Cheese",1089,sativa,"Euphoric, Creative, Energetic, Uplifted, Focused","Dry Mouth, Dry Eyes","Depression, Insomnia, Pain, Stress, Fatigue"
972,Jack the Ripper,"Lemon, Citrus, Pine",1090,sativa,"Euphoric, Happy, Energetic, Talkative, Uplifted","Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Pain, Stress, Nausea, Headache, Headaches"
973,Jack's Cleaner,"Citrus, Lemon, Chemical",1091,sativa,"Euphoric, Energetic, Talkative, Uplifted, Focused","Dizzy, Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Pain, Stress, Nausea, Fatigue"
974,Jack's Dream,"Grape, Berry, Blueberry",1092,hybrid,"Euphoric, Happy, Creative, Uplifted, Focused",,"Depression, Pain, Cramps, Fatigue, Inflammation"
975,Jackalope,"Earthy, Citrus, Flowery",1093,sativa,"Relaxed, Happy, Sleepy, Aroused","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Insomnia, Stress, Fatigue, Headaches"
976,Jacked-Up,"Berry, Citrus, Lemon",1094,hybrid,"Hungry, Creative, Energetic, Focused, Aroused",Dry Mouth,"Depression, Insomnia, Stress, Lack of Appetite, Headache, Fatigue"
977,Jacky White,"Flowery, Grapefruit, Citrus",1095,sativa,"Relaxed, Happy, Energetic, Uplifted, Focused","Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Insomnia, Stress, Nausea, Fatigue"
978,Jah Kush,"Citrus, Earthy, Sweet",1096,hybrid,"Relaxed, Happy, Energetic, Uplifted, Focused","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Pain, Stress, Headache, Fatigue, Headaches"
979,Jahwaiian,"Sweet, Tropical, Earthy",1097,sativa,"Euphoric, Happy, Creative, Energetic, Aroused",,Pain
980,Jamaican,"Earthy, Tropical, Skunk",1098,sativa,"Euphoric, Happy, Energetic, Talkative, Uplifted","Dizzy, Dry Mouth, Dry Eyes, Anxious","Depression, Insomnia, Stress, Fatigue, Headaches"
981,Jamaican Dream,"Woody, Earthy, Sweet",1099,sativa,"Relaxed, Euphoric, Happy, Talkative, Uplifted","Dry Mouth, Anxious","Depression, Pain, Stress, Nausea, Headache, Muscle Spasms"
982,Jamaican Lion,"Earthy, Nutty, Lime",1100,sativa,"Relaxed, Happy, Energetic, Uplifted","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Pain, Stress, Headache, Inflammation, Muscle Spasms"
983,Jamaican Pearl,"Earthy, Pungent, Woody",1101,sativa,"Relaxed, Euphoric, Happy, Energetic, Sleepy","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Pain, Stress, Nausea, Eye Pressure"
984,Jamba Juice,"Earthy, Berry, Pine",1102,hybrid,"Happy, Energetic, Talkative, Tingly, Giggly",,"Depression, Stress, Lack of Appetite, Fatigue, Muscle Spasms"
985,Jane Doe,"Apricot, Berry, Citrus",1103,hybrid,"Relaxed, Euphoric, Happy, Tingly, Giggly","Dry Mouth, Dry Eyes","Depression, Insomnia, Pain, Stress, Nausea"
986,Jasmine,"Sweet, Lavender, Rose",1104,hybrid,"Relaxed, Hungry, Euphoric, Happy, Sleepy",Dry Eyes,"Depression, Pain, Stress, Lack of Appetite, Nausea"
987,Jawa Pie,"Lemon, Minty, Lime",1105,indica,"Relaxed, Euphoric, Happy, Sleepy","Dizzy, Dry Mouth","Depression, Insomnia, Pain, Cramps, Lack of Appetite"
988,Jazz,"Citrus, Pepper, Sweet",1106,hybrid,"Euphoric, Happy, Creative, Energetic, Uplifted","Dry Mouth, Dry Eyes, Anxious","Depression, Pain, Stress, Fatigue, Headaches"
989,Jean Guy,"Citrus, Pine, Lemon",1107,hybrid,"Euphoric, Happy, Energetic, Talkative, Uplifted","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Pain, Stress, Headache, Fatigue, Inflammation"
990,Jedi Kush,"Earthy, Pungent, Pine",1108,indica,"Relaxed, Euphoric, Happy, Uplifted, Sleepy","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Insomnia, Pain, Stress, Lack of Appetite, Headache"
991,Jelly Roll,"Pungent, Sweet",1109,indica,"Relaxed, Happy, Tingly","Paranoid, Dry Eyes","Insomnia, Stress, Nausea, Eye Pressure"
992,Jenni,"Sweet, Berry, Tree Fruit",1110,sativa,"Relaxed, Euphoric, Happy, Creative, Energetic",,"Depression, Pain, Stress, Lack of Appetite, Headaches"
993,Jenny Kush,"Citrus, Sweet, Earthy",1111,hybrid,"Relaxed, Euphoric, Happy, Creative, Focused","Dizzy, Dry Mouth, Dry Eyes, Anxious","Depression, Pain, Stress, Headaches, Muscle Spasms"
994,Jesse's Girl,"Berry, Coffee, Sweet",1112,indica,"Relaxed, Euphoric, Happy, Creative",Dry Eyes,"Stress, Fatigue, Eye Pressure, Inflammation"
995,Jesus,"Citrus, Earthy, Lavender",1113,hybrid,"Relaxed, Euphoric, Happy, Creative, Uplifted",,"Depression, Insomnia, Pain, Stress, Nausea"
996,Jesus OG,"Earthy, Lemon, Citrus",1114,sativa,"Relaxed, Euphoric, Happy, Creative, Uplifted","Dizzy, Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Pain, Stress, Fatigue, Headaches"
997,Jet Fuel,"Diesel, Earthy, Pungent",1115,hybrid,"Relaxed, Happy, Energetic, Uplifted, Focused","Dizzy, Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Pain, Stress, Nausea, Fatigue"
998,Jillybean,"Citrus, Sweet, Orange",1117,hybrid,"Euphoric, Happy, Creative, Energetic, Uplifted","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Pain, Stress, Lack of Appetite, Headache, Fatigue"
999,Jimi Hendrix,"Citrus, Earthy, Sweet",1118,hybrid,"Relaxed, Euphoric, Happy, Creative, Uplifted",Anxious,"Depression, Stress, Cramps, Lack of Appetite, Nausea"
1000,Jock Horror,"Berry, Earthy, Sweet",1119,sativa,"Hungry, Euphoric, Happy, Energetic, Aroused","Dizzy, Dry Mouth, Dry Eyes, Anxious","Depression, Insomnia, Stress, Lack of Appetite, Fatigue"
1001,Johnny’s Tonic,"Flowery, Skunk, Pungent",1120,sativa,"Relaxed, Hungry, Euphoric, Happy, Tingly",Dry Eyes,"Pain, Cramps, Nausea, Fatigue, Inflammation"
1002,Jolly Rancher,"Sweet, Pungent, Flowery",1121,hybrid,"Relaxed, Euphoric, Happy, Tingly, Giggly","Dry Mouth, Dry Eyes","Depression, Pain, Stress, Nausea, Headaches"
1003,Josh D OG,"Berry, Blueberry, Blue Cheese",1122,indica,Aroused,"Paranoid, Anxious","Depression, Cramps, Fatigue"
1004,Jr,"Earthy, Pungent, Sweet",1123,indica,"Relaxed, Euphoric, Happy, Uplifted, Sleepy","Dizzy, Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Insomnia, Pain, Stress, Lack of Appetite"
1005,Juicy Fruit,"Sweet, Tropical, Citrus",1124,hybrid,"Relaxed, Euphoric, Happy, Energetic, Uplifted","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Insomnia, Pain, Stress, Headache, Fatigue"
1006,Juicy Jack,"Sweet, Earthy, Citrus",1125,hybrid,"Euphoric, Happy, Creative, Energetic, Uplifted","Dry Mouth, Paranoid","Depression, Insomnia, Pain, Stress, Headache, Fatigue"
1007,Juliet,"Spicy/Herbal, Pine, Earthy",1126,hybrid,"Relaxed, Euphoric, Happy, Energetic, Focused","Dizzy, Dry Mouth","Depression, Pain, Stress, Headache, Fatigue, Muscle Spasms"
1008,Julius Caesar,"Sweet, Flowery, Tropical",1127,hybrid,"Relaxed, Euphoric, Happy, Uplifted, Focused","Dizzy, Dry Mouth, Dry Eyes, Anxious","Depression, Pain, Stress, Lack of Appetite, Nausea"
1009,Jungle Juice,"Flowery, Citrus, Woody",1128,hybrid,"Relaxed, Happy, Creative, Energetic, Sleepy",,"Depression, Stress, Lack of Appetite, Fatigue, Headaches"
1010,Jupiter OG,"Pungent, Sweet, Flowery",1129,indica,"Relaxed, Hungry, Euphoric, Happy, Sleepy","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Insomnia, Pain, Lack of Appetite, Nausea, Headache, Headaches"
1011,K-Train,"Earthy, Citrus, Tree Fruit",1130,indica,"Relaxed, Euphoric, Happy, Creative, Uplifted","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Insomnia, Pain, Stress, Cramps, Headache"
1012,K1,"Ammonia, Pepper, Pine",1131,hybrid,"Happy, Energetic, Uplifted, Focused, Giggly",,"Depression, Pain, Stress, Fatigue, Headaches"
1013,K2,"Earthy, Citrus, Sweet",1132,hybrid,"Relaxed, Hungry, Happy, Sleepy","Dry Mouth, Dry Eyes, Anxious","Depression, Insomnia, Pain, Stress, Nausea, Headache"
1014,KC 33,"Lemon, Citrus, Sweet",1133,hybrid,"Relaxed, Hungry, Euphoric, Happy, Focused",,"Pain, Stress, Headaches, Eye Pressure, Inflammation"
1015,KC 36,"Blueberry, Grape, Lavender",1134,indica,"Relaxed, Uplifted, Sleepy","Dry Mouth, Dry Eyes","Depression, Stress, Fatigue"
1016,KT Dawg,"Woody, Citrus, Sweet",1135,hybrid,"Relaxed, Happy, Creative, Uplifted, Tingly",Dry Mouth,"Pain, Stress, Inflammation"
1017,Kaboom,"Pine, Earthy, Lemon",1136,sativa,"Happy, Energetic, Talkative, Uplifted, Focused","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Pain, Stress, Nausea, Headache, Fatigue"
1018,Kahuna,"Orange, Pineapple, Pungent",1137,indica,"Relaxed, Euphoric, Creative, Uplifted, Focused","Dry Mouth, Dry Eyes","Depression, Insomnia, Pain, Stress, Fatigue"
1019,Kaia Kush,"Spicy/Herbal, Earthy, Flowery",1138,hybrid,"Relaxed, Happy, Creative, Energetic, Uplifted","Dry Mouth, Dry Eyes","Depression, Stress, Lack of Appetite, Nausea, Headaches"
1020,Kalalau Kush,"Earthy, Mango, Pineapple",1139,hybrid,"Euphoric, Happy, Energetic, Tingly, Aroused",,
1021,Kalashnikova,"Sweet, Flowery, Earthy",1140,hybrid,"Euphoric, Happy, Talkative, Uplifted, Focused",Dry Mouth,"Depression, Insomnia, Pain, Stress, Headache, Fatigue"
1022,Kali 47,"Sweet, Vanilla",1142,sativa,"Euphoric, Happy, Creative, Energetic, Uplifted",,"Depression, Fatigue, Headaches, Inflammation, Muscle Spasms"
1023,Kali China,"Earthy, Mango, Minty",1143,indica,"Relaxed, Euphoric, Happy, Creative, Sleepy",,"Depression, Insomnia, Pain, Stress, Nausea"
1024,Kali Dog,"Citrus, Earthy, Lemon",1144,hybrid,"Relaxed, Happy, Energetic, Uplifted, Sleepy",Dry Eyes,"Pain, Stress, Lack of Appetite, Headaches, Eye Pressure"
